L_yy_mm_dd_hh_mm_N<x>_<seed>,PI,IRR,N turbines,AEP,efficiency,LCoE,capacity factor,installed MW
L_26_06_28_19_25_N17_52412665257025284,1.283145,10.0488,17,265.376679,95.934699,42.230218,0.528786,57.290000
L_26_06_19_02_25_N17_676677225426536695,1.280519,,17,264.941567,95.777405,42.274061,0.527919,57.290000
L_26_06_19_03_19_N17_1417744962385133343,1.275665,,17,264.259403,95.530800,42.357831,0.526560,57.290000
L_26_06_19_02_51_N17_15615957522803894715,1.273894,,17,264.075925,95.464472,42.397925,0.526194,57.290000
L_26_06_19_01_14_N16_8038241024615478312,1.266227,,16,250.257950,96.123546,42.605799,0.529827,53.920000
L_26_06_19_00_43_N16_9187139919535445351,1.265389,,16,249.858231,95.970015,42.613673,0.528981,53.920000
L_26_06_19_01_41_N16_6420103084460674325,1.264223,,16,249.596693,95.869559,42.633385,0.528427,53.920000
L_26_06_18_23_23_N15_15666961655686707955,1.253282,,15,235.442945,96.462010,42.912768,0.531692,50.550000
L_26_06_18_23_47_N15_17085776254635971041,1.248005,,15,234.659918,96.141201,43.009833,0.529924,50.550000
L_26_06_19_00_11_N15_5003804555830075673,1.247928,,15,234.732900,96.171102,43.009570,0.530089,50.550000
