wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
5.000000,37.500000,"[-13.104166666666668, 2.6666666666666665, 0.0, -2.6666666666666665, 0.0, 10.958333333333332, 0.0, 0.0, -15.4375, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -18.0]"
5.000000,42.500000,"[12.0, -4.0, 0.0, 3.541666666666667, 0.0, 0.0, 0.0, 0.0, 14.75, 16.5, 1.7083333333333335, 0.0, 0.0, 0.0, 0.0, 0.0, 20.0]"
5.000000,47.500000,"[11.5625, -4.0, 0.0, -3.0833333333333335, 0.0, 0.0, 0.0, 0.0, 9.083333333333334, 6.291666666666666, -7.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 16.5]"
5.000000,52.500000,"[2.395833333333333, 8.416666666666666, 2.8125, -2.291666666666667, 0.0, -4.0, 0.0, 0.0, 0.0, 0.0, 18.5625, 0.0, 0.0, 0.0, 0.0, 0.0, 4.0]"
5.000000,67.500000,"[0.0, -11.083333333333334, 0.0, 0.0, 0.0, -2.5833333333333335, 0.0, 0.0, 3.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,87.500000,"[13.625, -3.104166666666667, 20.0, 4.0, -5.104166666666666, 3.5, 14.541666666666668, 0.0, 4.0, 17.208333333333336, 0.0, 0.0, 0.0, 10.125, 0.0, 0.0, -2.208333333333333]"
5.000000,92.500000,"[10.916666666666666, -6.229166666666667, 17.083333333333332, 0.0, 13.166666666666666, 0.0, 9.416666666666666, 0.0, 0.0, 17.854166666666664, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -5.75]"
5.000000,97.500000,"[4.0, 0.0, 7.583333333333333, 0.0, 9.4375, 0.0, 0.0, 0.0, -4.791666666666666, 8.0, -2.75, 0.0, 0.0, 0.0, 0.0, 0.0, -8.3125]"
5.000000,102.500000,"[0.0, 9.208333333333332, 0.0, -7.166666666666667, 2.229166666666667, 0.0, -5.270833333333333, 0.0, -18.8125, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 2.4375]"
5.000000,107.500000,"[0.0, 3.0, 0.0, -2.75, 0.0, 2.6875, 4.875, 0.0, 14.291666666666668, 0.0, -6.729166666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,112.500000,"[0.0, 0.0, 0.0, 11.125, -2.3333333333333335, 0.0, 3.1875, 0.0, 14.791666666666668, 0.0, 7.0, 0.0, 0.0, -3.4375, 0.0, 0.0, 0.0]"
5.000000,117.500000,"[0.0, 0.0, 0.0, 0.0, -11.333333333333334, -5.208333333333334, -1.9583333333333335, 0.0, 4.541666666666666, 0.0, 7.125, 0.0, 0.0, -14.791666666666668, 0.0, 0.0, 0.0]"
5.000000,122.500000,"[0.0, 0.0, 0.0, -4.416666666666667, -10.5625, -10.625, -4.770833333333333, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -20.0, 0.0, 0.0, -4.645833333333334]"
5.000000,127.500000,"[0.0, 0.0, 0.0, 0.0, 13.3125, 3.7291666666666665, 4.4375, 0.0, -2.7291666666666665, 0.0, -10.0, 0.0, 0.0, 18.0625, 0.0, 0.0, 0.0]"
5.000000,132.500000,"[0.0, 0.0, 0.0, 6.083333333333333, 4.729166666666667, 11.208333333333332, 0.0, 0.0, -3.5, 0.0, -16.291666666666664, 0.0, 0.0, 11.5, 0.0, 0.0, 5.333333333333333]"
5.000000,137.500000,"[0.0, 0.0, 0.0, 2.0625, -2.645833333333333, 4.895833333333334, 0.0, 0.0, 5.083333333333333, 0.0, 2.854166666666667, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,142.500000,"[0.0, 0.0, 0.0, 0.0, -9.0, 0.0, 0.0, 0.0, 0.0, 0.0, 16.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
5.000000,147.500000,"[0.0, 0.0, 0.0, 0.0, 4.0, -4.791666666666666, 0.0, 0.0, 0.0, 0.0, 8.770833333333334, 0.0, 0.0, 0.0, 0.0, 0.0, -9.395833333333332]"
5.000000,152.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 7.0625, -4.0, 0.0, -8.458333333333332, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, -4.625]"
5.000000,157.500000,"[0.0, 0.0, 0.0, 0.0, 2.854166666666667, 2.0, -10.083333333333334, 0.0, 2.875, 0.0, 0.0, -2.854166666666667, 0.0, -13.125, 0.0, 0.0, 6.354166666666666]"
5.000000,162.500000,"[0.0, 0.0, 0.0, 0.0, 2.895833333333333, 0.0, 7.5, -2.25, 0.0, 0.0, 0.0, -10.666666666666666, 0.0, 12.666666666666666, -2.958333333333333, 0.0, 3.1875]"
5.000000,167.500000,"[0.0, 0.0, 0.0, -3.625, 0.0, -2.8125, 7.354166666666666, -9.1875, -14.208333333333332, 0.0, 0.0, -16.895833333333336, -4.5, 15.083333333333334, -10.5625, 0.0, 0.0]"
