L_yy_mm_dd_hh_mm_N<x>_<seed>,PI,N turbines,AEP,efficiency,LCoE,capacity factor,installed MW
L_26_06_16_11_08_N17_150283339090572666,2.138163,17,243.503921,96.018708,40.169383,0.485203,57.290000
L_26_06_16_11_26_N17_5700827294531429835,2.135004,17,242.898192,95.779856,40.210332,0.483996,57.290000
L_26_06_16_11_48_N17_5946616889464101426,2.134050,17,242.755412,95.723555,40.222314,0.483711,57.290000
L_26_06_16_07_03_N16_8303597916081653909,2.131754,16,230.052478,96.384179,40.230455,0.487049,53.920000
L_26_06_16_07_25_N16_11562859126347429730,2.130398,16,230.213843,96.451785,40.243688,0.487391,53.920000
L_26_06_16_07_45_N16_9416708675063397324,2.125858,16,229.898279,96.319575,40.297408,0.486723,53.920000
L_26_06_15_23_04_N15_6412178343787479600,2.114746,15,216.138960,96.591880,40.414479,0.488099,50.550000
L_26_06_16_03_44_N15_16161112696522781419,2.113003,15,215.804680,96.442491,40.437880,0.487344,50.550000
L_26_06_16_03_59_N15_13186461534395302595,2.108195,15,215.823759,96.451017,40.491832,0.487387,50.550000
L_26_06_15_15_17_N14_5379002638007847187,2.096712,14,202.398982,96.912346,40.610558,0.489718,47.180000
L_26_06_15_14_51_N14_15241039521007531860,2.095152,14,202.050094,96.745292,40.632598,0.488874,47.180000
L_26_06_15_15_00_N14_14739545316766370325,2.093920,14,202.069301,96.754489,40.646461,0.488921,47.180000
