metric,value
case_label,most_common
source_layout_id,L_26_06_29_07_58_N17_16177344846063077645
source_layout_num_turbines,17
wind_direction_deg,261.5000000000
wind_speed_m_per_s,9.5000000000
frequency,0.0005660165
reference_optimized_speed_bin_m_per_s,9.0000000000
power_baseline_w,48594480.4176558405
power_optimized_w,48634789.4493383616
power_gain_w,40309.0316825211
power_gain_pct,0.0829498152
annualized_energy_baseline_mwh,240.9462343620
annualized_energy_optimized_mwh,241.1460988181
annualized_energy_gain_mwh,0.1998644560
pi_baseline,1.7492416521
pi_opt,1.7523262230
irr_baseline_pct,17.0172882080
irr_opt_pct,17.0767974854
aep_baseline_gwh,244.1850437930
aep_opt_gwh,244.5154539195
efficiency_baseline_pct,96.2872886120
efficiency_opt_pct,96.4175762607
lcoe_baseline_usd_per_mwh,40.0891083693
lcoe_opt_usd_per_mwh,40.0511519714
capacity_factor_baseline,0.4865596963
capacity_factor_opt,0.4872180669
wake_loss_baseline_pct,3.7127113880
wake_loss_opt_pct,3.5824237393
installed_mw,57.2900000000
yaw_optimization_runtime_s,1261.8035206795
global_yaw_scale,1.0000000000
