metric,value
case_label,most_optimized
source_layout_id,L_26_06_29_07_58_N17_16177344846063077645
source_layout_num_turbines,17
wind_direction_deg,209.5000000000
wind_speed_m_per_s,10.5000000000
frequency,0.0002099468
reference_optimized_speed_bin_m_per_s,11.0000000000
power_baseline_w,54113755.5916764885
power_optimized_w,55105167.2391079888
power_gain_w,991411.6474315003
power_gain_pct,1.8320880460
annualized_energy_baseline_mwh,99.5224338590
annualized_energy_optimized_mwh,101.3457724728
annualized_energy_gain_mwh,1.8233386138
annualized_gain_mwh,1.8233386138
pi_baseline,1.7492416521
pi_opt,1.7523262230
irr_baseline_pct,17.0172882080
irr_opt_pct,17.0767974854
aep_baseline_gwh,244.1850437930
aep_opt_gwh,244.5154539195
efficiency_baseline_pct,96.2872886120
efficiency_opt_pct,96.4175762607
lcoe_baseline_usd_per_mwh,40.0891083693
lcoe_opt_usd_per_mwh,40.0511519714
capacity_factor_baseline,0.4865596963
capacity_factor_opt,0.4872180669
wake_loss_baseline_pct,3.7127113880
wake_loss_opt_pct,3.5824237393
installed_mw,57.2900000000
yaw_optimization_runtime_s,1261.8035206795
global_yaw_scale,1.0000000000
