wind_speed_m_per_s,wind_direction_deg,yaw_angles_deg_by_turbine
5.000000,2.500000,"[0.0, 0.0, 2.1904761904761907, -1.4285714285714288, 0.0, 0.0, 0.0, 9.267857142857146, 0.0, 2.8571428571428577, 0.0, -5.9642857142857135, 0.0, -9.238095238095239, 0.0, 0.0, -8.238095238095239]"
5.000000,7.500000,"[0.0, 0.0, 0.0, -4.5, 0.0, 6.916666666666667, 0.0, 0.0, 0.0, 3.9107142857142856, 0.0, -10.160714285714285, 0.0, -16.285714285714285, 0.0, 0.0, -13.25]"
5.000000,12.500000,"[0.0, 0.0, 0.0, -7.303571428571427, 0.0, 3.2142857142857144, 0.0, 0.0, 0.0, 0.0, 0.0, -13.875, 0.0, -20.0, 0.0, 0.0, -15.82142857142857]"
5.000000,17.500000,"[0.0, 0.0, 0.0, -16.96428571428571, 0.0, 0.0, -4.571428571428571, 0.0, 0.0, 0.0, 0.0, -17.66071428571428, 0.0, -20.0, -1.833333333333334, 0.0, -10.0]"
5.000000,22.500000,"[0.0, 0.0, 0.0, 18.642857142857146, 0.0, 0.0, -10.767857142857142, 0.0, 0.0, 0.0, 0.0, 20.0, 0.0, 20.0, -6.7142857142857135, 1.5833333333333335, 9.767857142857142]"
5.000000,27.500000,"[0.0, 0.0, 0.0, 20.0, 0.0, 0.0, -10.130952380952381, 0.0, 0.0, 0.0, 0.0, 16.130952380952383, 0.0, 17.142857142857146, -8.071428571428571, 0.0, 9.904761904761907]"
5.000000,32.500000,"[0.0, -2.047619047619048, 0.0, 16.696428571428577, 0.0, -2.1309523809523814, 8.571428571428573, 0.0, 0.0, 0.0, 0.0, 12.642857142857144, 0.0, 9.17857142857143, 0.0, 0.0, 5.553571428571431]"
5.000000,37.500000,"[0.0, -1.5000000000000002, 0.0, 12.380952380952385, 0.0, 0.0, 11.892857142857144, 0.0, 0.0, -4.678571428571428, 0.0, 5.714285714285715, 0.0, 4.446428571428573, 10.321428571428573, 0.0, 1.7142857142857146]"
5.000000,42.500000,"[0.0, 1.8452380952380958, 0.0, 5.714285714285715, 0.0, 1.9464285714285718, 6.803571428571429, 0.0, 0.0, -8.142857142857142, 0.0, 1.4523809523809526, 0.0, 2.1964285714285716, 5.500000000000002, 0.0, 0.0]"
5.000000,47.500000,"[0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0]"
